,Roll_No,Names,Maths,Science,Social_sci,English,Marathi,Kannada,Total_marks,Percentage,Result,Failed_subjects,Grade
0,2026001,Aaron,69,72,89,34,92,92,448,74.66666666666667,Fail,English,F
2,2026003,Adam,64,71,62,34,50,97,378,63.0,Fail,English,F
5,2026006,Alex,34,82,57,48,56,99,376,62.66666666666667,Fail,Maths,F
6,2026007,Alexander,60,100,80,25,53,59,377,62.83333333333333,Fail,English,F
7,2026008,Alexander,25,61,78,42,30,63,299,49.833333333333336,Fail,"Maths, Marathi",F
8,2026009,Allen,29,67,83,90,56,26,351,58.5,Fail,"Maths, Kannada",F
9,2026010,Allen,66,82,60,25,36,71,340,56.666666666666664,Fail,English,F
11,2026012,Alyssa,31,93,72,40,28,77,341,56.833333333333336,Fail,"Maths, Marathi",F
13,2026014,Amanda,94,66,60,25,89,94,428,71.33333333333334,Fail,English,F
14,2026015,Amber,75,61,59,67,73,28,363,60.5,Fail,Kannada,F
15,2026016,Amy,46,98,25,83,35,68,355,59.166666666666664,Fail,Social_sci,F
16,2026017,Amy,48,84,27,92,87,60,398,66.33333333333333,Fail,Social_sci,F
19,2026020,Andrew,27,76,57,63,79,25,327,54.50000000000001,Fail,"Maths, Kannada",F
21,2026022,Andrew,49,27,28,97,38,65,304,50.66666666666667,Fail,"Science, Social_sci",F
23,2026024,Angela,86,39,29,100,92,36,382,63.66666666666667,Fail,Social_sci,F
27,2026028,Anthony,65,79,36,69,63,26,338,56.333333333333336,Fail,Kannada,F
28,2026029,Anthony,49,92,28,94,60,86,409,68.16666666666666,Fail,Social_sci,F
30,2026031,April,53,27,52,76,48,78,334,55.666666666666664,Fail,Science,F
32,2026033,Audrey,64,34,98,28,66,48,338,56.333333333333336,Fail,"Science, English",F
33,2026034,Autumn,71,75,28,35,56,34,299,49.833333333333336,Fail,"Social_sci, Kannada",F
35,2026036,Benjamin,59,59,58,25,30,61,292,48.66666666666667,Fail,"English, Marathi",F
36,2026037,Betty,100,59,94,33,78,87,451,75.16666666666667,Fail,English,F
37,2026038,Bonnie,86,26,60,73,65,61,371,61.83333333333333,Fail,Science,F
39,2026040,Brandon,43,42,27,69,94,37,312,52.0,Fail,Social_sci,F
43,2026044,Brandon,83,25,88,49,41,61,347,57.833333333333336,Fail,Science,F
44,2026045,Brandon,88,92,76,57,33,81,427,71.16666666666667,Fail,Marathi,F
47,2026048,Brenda,39,53,45,32,93,47,309,51.5,Fail,English,F
48,2026049,Brenda,97,86,38,33,30,25,309,51.5,Fail,"English, Marathi, Kannada",F
49,2026050,Brenda,78,36,29,51,64,70,328,54.666666666666664,Fail,Social_sci,F
54,2026055,Brian,69,38,95,33,63,64,362,60.333333333333336,Fail,English,F
55,2026056,Brian,38,32,47,96,33,31,277,46.166666666666664,Fail,"Science, Marathi, Kannada",F
57,2026058,Brittany,29,74,55,45,79,50,332,55.333333333333336,Fail,Maths,F
59,2026060,Carlos,76,32,34,61,79,25,307,51.16666666666667,Fail,"Science, Social_sci, Kannada",F
60,2026061,Carlos,45,28,67,61,90,45,336,56.00000000000001,Fail,Science,F
62,2026063,Carolyn,45,95,34,43,85,60,362,60.333333333333336,Fail,Social_sci,F
63,2026064,Catherine,99,68,28,26,37,83,341,56.833333333333336,Fail,"Social_sci, English",F
64,2026065,Chad,25,64,49,94,83,61,376,62.66666666666667,Fail,Maths,F
65,2026066,Charles,31,28,65,53,85,58,320,53.333333333333336,Fail,"Maths, Science",F
67,2026068,Charles,58,32,97,92,32,92,403,67.16666666666666,Fail,"Science, Marathi",F
68,2026069,Charles,96,25,30,32,55,98,336,56.00000000000001,Fail,"Science, Social_sci, English",F
69,2026070,Charles,46,33,68,76,71,25,319,53.166666666666664,Fail,"Science, Kannada",F
71,2026072,Cheryl,84,82,75,82,70,29,422,70.33333333333334,Fail,Kannada,F
73,2026074,Cheryl,61,87,29,98,55,60,390,65.0,Fail,Social_sci,F
75,2026076,Cheyenne,85,72,25,38,35,100,355,59.166666666666664,Fail,Social_sci,F
76,2026077,Chris,96,31,70,66,55,40,358,59.66666666666667,Fail,Science,F
77,2026078,Christian,63,78,68,66,32,90,397,66.16666666666666,Fail,Marathi,F
80,2026081,Christina,89,94,59,62,28,85,417,69.5,Fail,Marathi,F
81,2026082,Christine,68,95,45,31,31,53,323,53.833333333333336,Fail,"English, Marathi",F
83,2026084,Christine,60,33,50,41,46,70,300,50.0,Fail,Science,F
84,2026085,Christopher,50,62,26,37,30,95,300,50.0,Fail,"Social_sci, Marathi",F
86,2026087,Christopher,30,72,84,35,67,92,380,63.33333333333333,Fail,Maths,F
87,2026088,Christopher,82,28,94,42,83,29,358,59.66666666666667,Fail,"Science, Kannada",F
88,2026089,Christopher,94,88,49,65,28,94,418,69.66666666666667,Fail,Marathi,F
90,2026091,Christopher,43,32,78,54,71,58,336,56.00000000000001,Fail,Science,F
