,Roll_No,Names,Maths,Science,Social_sci,English,Marathi,Kannada,Total_marks,Percentage,Result,Failed_subjects,Grade
1,2026002,Aaron,46,61,95,90,37,83,412,68.66666666666667,Pass,None,B
3,2026004,Adam,45,94,72,54,89,74,428,71.33333333333334,Pass,None,B+
4,2026005,Adam,44,44,39,90,64,57,338,56.333333333333336,Pass,None,C+
10,2026011,Allison,39,78,37,93,67,100,414,69.0,Pass,None,B
12,2026013,Amanda,45,83,48,74,38,73,361,60.16666666666667,Pass,None,B
17,2026018,Andrea,71,45,75,66,52,39,348,57.99999999999999,Pass,None,C+
18,2026019,Andrea,83,90,61,36,35,68,373,62.16666666666667,Pass,None,B
20,2026021,Andrew,44,71,67,55,81,85,403,67.16666666666666,Pass,None,B
22,2026023,Angela,44,97,51,92,91,77,452,75.33333333333333,Pass,None,B+
24,2026025,Angela,81,41,49,50,54,46,321,53.5,Pass,None,C+
25,2026026,Anthony,85,86,58,56,57,95,437,72.83333333333334,Pass,None,B+
26,2026027,Anthony,38,96,81,43,49,66,373,62.16666666666667,Pass,None,B
29,2026030,Antonio,68,57,36,62,35,79,337,56.166666666666664,Pass,None,C+
31,2026032,Ashlee,71,45,78,60,54,92,400,66.66666666666666,Pass,None,B
34,2026035,Benjamin,52,70,96,69,64,86,437,72.83333333333334,Pass,None,B+
38,2026039,Bradley,50,92,60,58,55,54,369,61.5,Pass,None,B
40,2026041,Brandon,91,64,64,55,100,47,421,70.16666666666667,Pass,None,B+
41,2026042,Brandon,42,95,96,74,43,68,418,69.66666666666667,Pass,None,B
42,2026043,Brandon,66,71,46,53,98,98,432,72.0,Pass,None,B+
45,2026046,Brandy,44,97,96,80,38,83,438,73.0,Pass,None,B+
46,2026047,Breanna,89,100,61,67,50,57,424,70.66666666666667,Pass,None,B+
50,2026051,Brendan,99,77,74,59,76,43,428,71.33333333333334,Pass,None,B+
51,2026052,Brendan,76,55,78,80,83,68,440,73.33333333333333,Pass,None,B+
52,2026053,Brett,43,70,90,73,95,78,449,74.83333333333333,Pass,None,B+
53,2026054,Brian,84,51,60,98,83,74,450,75.0,Pass,None,B+
56,2026057,Brittany,91,85,41,49,81,48,395,65.83333333333333,Pass,None,B
58,2026059,Caleb,82,48,52,78,54,58,372,62.0,Pass,None,B
61,2026062,Carolyn,93,72,35,56,68,88,412,68.66666666666667,Pass,None,B
66,2026067,Charles,93,51,76,94,98,78,490,81.66666666666667,Pass,None,A
70,2026071,Charles,63,99,51,69,57,95,434,72.33333333333334,Pass,None,B+
72,2026073,Cheryl,42,60,91,82,45,70,390,65.0,Pass,None,B
74,2026075,Cheryl,80,51,47,86,76,71,411,68.5,Pass,None,B
78,2026079,Christian,91,56,75,37,71,58,388,64.66666666666666,Pass,None,B
79,2026080,Christina,91,97,35,90,52,81,446,74.33333333333333,Pass,None,B+
82,2026083,Christine,91,94,98,56,79,46,464,77.33333333333333,Pass,None,B+
85,2026086,Christopher,99,79,87,70,97,96,528,88.0,Pass,None,A
89,2026090,Christopher,61,83,74,58,80,49,405,67.5,Pass,None,B
91,2026092,Cindy,37,71,57,71,59,50,345,57.49999999999999,Pass,None,C+
95,2026096,Connie,45,67,53,73,51,77,366,61.0,Pass,None,B
97,2026098,Courtney,62,64,57,75,58,51,367,61.16666666666667,Pass,None,B
98,2026099,Courtney,45,53,97,49,43,50,337,56.166666666666664,Pass,None,C+
99,2026100,Craig,64,53,49,69,43,92,370,61.66666666666667,Pass,None,B
101,2026102,Cynthia,82,95,44,45,59,75,400,66.66666666666666,Pass,None,B
106,2026107,Daniel,90,68,87,43,72,46,406,67.66666666666666,Pass,None,B
