Roll_No,Names,Maths,Science,Social_sci,English,Marathi,Kannada,Total_marks,Percentage,Result,Failed_subjects,Grade
2026001,Alan,69,72,89,34,92,92,448,74.66666666666667,Fail,English,F
2026003,Alexandra,64,71,62,34,50,97,378,63.0,Fail,English,F
2026006,Alyssa,34,82,57,48,56,99,376,62.66666666666667,Fail,Maths,F
2026007,Alyssa,60,100,80,25,53,59,377,62.83333333333333,Fail,English,F
2026008,Amanda,25,61,78,42,30,63,299,49.833333333333336,Fail,"Maths, Marathi",F
2026009,Amanda,29,67,83,90,56,26,351,58.5,Fail,"Maths, Kannada",F
2026010,Amanda,66,82,60,25,36,71,340,56.666666666666664,Fail,English,F
2026012,Amber,31,93,72,40,28,77,341,56.833333333333336,Fail,"Maths, Marathi",F
2026014,Amy,94,66,60,25,89,94,428,71.33333333333334,Fail,English,F
2026015,Amy,75,61,59,67,73,28,363,60.5,Fail,Kannada,F
2026016,Andrea,46,98,25,83,35,68,355,59.166666666666664,Fail,Social_sci,F
2026017,Andrew,48,84,27,92,87,60,398,66.33333333333333,Fail,Social_sci,F
2026020,Andrew,27,76,57,63,79,25,327,54.50000000000001,Fail,"Maths, Kannada",F
2026022,Angela,49,27,28,97,38,65,304,50.66666666666667,Fail,"Science, Social_sci",F
2026024,Angela,86,39,29,100,92,36,382,63.66666666666667,Fail,Social_sci,F
2026028,Anna,65,79,36,69,63,26,338,56.333333333333336,Fail,Kannada,F
2026029,Anna,49,92,28,94,60,86,409,68.16666666666666,Fail,Social_sci,F
2026031,Ariana,53,27,52,76,48,78,334,55.666666666666664,Fail,Science,F
2026033,Ashley,64,34,98,28,66,48,338,56.333333333333336,Fail,"Science, English",F
2026034,Ashley,71,75,28,35,56,34,299,49.833333333333336,Fail,"Social_sci, Kannada",F
2026036,Ashley,59,59,58,25,30,61,292,48.66666666666667,Fail,"English, Marathi",F
2026037,Ashley,100,59,94,33,78,87,451,75.16666666666667,Fail,English,F
2026038,Autumn,86,26,60,73,65,61,371,61.83333333333333,Fail,Science,F
2026040,Barbara,43,42,27,69,94,37,312,52.0,Fail,Social_sci,F
2026044,Beth,83,25,88,49,41,61,347,57.833333333333336,Fail,Science,F
2026045,Blake,88,92,76,57,33,81,427,71.16666666666667,Fail,Marathi,F
2026048,Bradley,39,53,45,32,93,47,309,51.5,Fail,English,F
2026049,Brandon,97,86,38,33,30,25,309,51.5,Fail,"English, Marathi, Kannada",F
2026050,Brandon,78,36,29,51,64,70,328,54.666666666666664,Fail,Social_sci,F
2026055,Brian,69,38,95,33,63,64,362,60.333333333333336,Fail,English,F
2026056,Brian,38,32,47,96,33,31,277,46.166666666666664,Fail,"Science, Marathi, Kannada",F
2026058,Brianna,29,74,55,45,79,50,332,55.333333333333336,Fail,Maths,F
