Roll_No,Names,Maths,Science,Social_sci,English,Marathi,Kannada,Total_marks,Percentage,Result,Failed_subjects,Grade
2026002,Alejandro,46,61,95,90,37,83,412,68.66666666666667,Pass,None,B
2026004,Alice,45,94,72,54,89,74,428,71.33333333333334,Pass,None,B+
2026005,Alicia,44,44,39,90,64,57,338,56.333333333333336,Pass,None,C+
2026011,Amanda,39,78,37,93,67,100,414,69.0,Pass,None,B
2026013,Amber,45,83,48,74,38,73,361,60.16666666666667,Pass,None,B
2026018,Andrew,71,45,75,66,52,39,348,57.99999999999999,Pass,None,C+
2026019,Andrew,83,90,61,36,35,68,373,62.16666666666667,Pass,None,B
2026021,Angela,44,71,67,55,81,85,403,67.16666666666666,Pass,None,B
2026023,Angela,44,97,51,92,91,77,452,75.33333333333333,Pass,None,B+
2026025,Ann,81,41,49,50,54,46,321,53.5,Pass,None,C+
2026026,Ann,85,86,58,56,57,95,437,72.83333333333334,Pass,None,B+
2026027,Ann,38,96,81,43,49,66,373,62.16666666666667,Pass,None,B
2026030,Annette,68,57,36,62,35,79,337,56.166666666666664,Pass,None,C+
2026032,Ariel,71,45,78,60,54,92,400,66.66666666666666,Pass,None,B
2026035,Ashley,52,70,96,69,64,86,437,72.83333333333334,Pass,None,B+
2026039,Autumn,50,92,60,58,55,54,369,61.5,Pass,None,B
2026041,Becky,91,64,64,55,100,47,421,70.16666666666667,Pass,None,B+
2026042,Benjamin,42,95,96,74,43,68,418,69.66666666666667,Pass,None,B
2026043,Benjamin,66,71,46,53,98,98,432,72.0,Pass,None,B+
2026046,Bobby,44,97,96,80,38,83,438,73.0,Pass,None,B+
2026047,Brad,89,100,61,67,50,57,424,70.66666666666667,Pass,None,B+
2026051,Brandy,99,77,74,59,76,43,428,71.33333333333334,Pass,None,B+
2026052,Brian,76,55,78,80,83,68,440,73.33333333333333,Pass,None,B+
2026053,Brian,43,70,90,73,95,78,449,74.83333333333333,Pass,None,B+
2026054,Brian,84,51,60,98,83,74,450,75.0,Pass,None,B+
2026057,Brian,91,85,41,49,81,48,395,65.83333333333333,Pass,None,B
2026059,Bridget,82,48,52,78,54,58,372,62.0,Pass,None,B
2026062,Bryan,93,72,35,56,68,88,412,68.66666666666667,Pass,None,B
2026067,Carly,93,51,76,94,98,78,490,81.66666666666667,Pass,None,A
2026071,Carrie,63,99,51,69,57,95,434,72.33333333333334,Pass,None,B+
2026073,Catherine,42,60,91,82,45,70,390,65.0,Pass,None,B
2026075,Charlene,80,51,47,86,76,71,411,68.5,Pass,None,B
2026079,Cheryl,91,56,75,37,71,58,388,64.66666666666666,Pass,None,B
2026080,Cheryl,91,97,35,90,52,81,446,74.33333333333333,Pass,None,B+
2026083,Christian,91,94,98,56,79,46,464,77.33333333333333,Pass,None,B+
2026086,Christina,99,79,87,70,97,96,528,88.0,Pass,None,A
2026090,Christopher,61,83,74,58,80,49,405,67.5,Pass,None,B
2026092,Christopher,37,71,57,71,59,50,345,57.49999999999999,Pass,None,C+
2026096,Christopher,45,67,53,73,51,77,366,61.0,Pass,None,B
2026098,Christopher,62,64,57,75,58,51,367,61.16666666666667,Pass,None,B
2026099,Cindy,45,53,97,49,43,50,337,56.166666666666664,Pass,None,C+
2026100,Cody,64,53,49,69,43,92,370,61.66666666666667,Pass,None,B
2026102,Craig,82,95,44,45,59,75,400,66.66666666666666,Pass,None,B
2026107,Dana,90,68,87,43,72,46,406,67.66666666666666,Pass,None,B
2026110,Daniel,87,35,37,47,89,54,349,58.166666666666664,Pass,None,C+
2026113,Darrell,86,92,41,87,98,81,485,80.83333333333333,Pass,None,A
2026117,David,55,59,79,84,60,96,433,72.16666666666667,Pass,None,B+
2026121,David,85,66,65,65,85,76,442,73.66666666666667,Pass,None,B+
2026122,David,84,54,62,54,41,64,359,59.833333333333336,Pass,None,C+
2026131,Donna,46,45,67,80,82,42,362,60.333333333333336,Pass,None,B
2026132,Donna,93,36,44,70,36,50,329,54.833333333333336,Pass,None,C+
2026136,Ebony,80,36,92,82,80,93,463,77.16666666666666,Pass,None,B+
2026138,Edward,98,36,41,84,85,88,432,72.0,Pass,None,B+
2026141,Elizabeth,53,83,90,36,36,50,348,57.99999999999999,Pass,None,C+
2026143,Elizabeth,58,69,65,48,97,57,394,65.66666666666666,Pass,None,B
2026144,Emily,93,56,47,40,89,56,381,63.5,Pass,None,B
2026145,Eric,76,37,70,46,35,95,359,59.833333333333336,Pass,None,C+
2026147,Eric,40,40,53,82,96,52,363,60.5,Pass,None,B
2026148,Eric,83,38,43,80,45,96,385,64.16666666666667,Pass,None,B
2026150,Erica,53,90,74,66,74,82,439,73.16666666666667,Pass,None,B+
2026151,Erica,91,72,42,89,45,63,402,67.0,Pass,None,B
2026153,Erik,46,59,57,66,67,69,364,60.66666666666667,Pass,None,B
2026156,Ernest,76,98,89,46,42,65,416,69.33333333333334,Pass,None,B
2026165,Gabrielle,75,73,37,61,95,61,402,67.0,Pass,None,B
2026166,Gregory,55,44,63,39,69,60,330,55.00000000000001,Pass,None,C+
2026167,Gregory,54,76,85,52,92,54,413,68.83333333333333,Pass,None,B
2026169,Hayley,64,99,54,83,54,86,440,73.33333333333333,Pass,None,B+
2026171,Heather,91,44,55,51,64,74,379,63.16666666666667,Pass,None,B
2026173,Heather,53,83,91,61,90,72,450,75.0,Pass,None,B+
2026176,Heather,42,60,44,37,41,48,272,45.33333333333333,Pass,None,C
2026180,James,40,35,44,96,81,43,339,56.49999999999999,Pass,None,C+
2026181,James,85,49,57,77,64,41,373,62.16666666666667,Pass,None,B
2026182,James,71,48,40,52,69,80,360,60.0,Pass,None,B
2026184,James,93,97,58,90,73,94,505,84.16666666666667,Pass,None,A
2026186,James,52,68,44,92,70,68,394,65.66666666666666,Pass,None,B
2026190,Janice,40,96,54,74,60,73,397,66.16666666666666,Pass,None,B
2026193,Jason,86,67,41,93,84,42,413,68.83333333333333,Pass,None,B
2026194,Jason,85,50,39,54,86,78,392,65.33333333333333,Pass,None,B
2026196,Jeanette,78,35,68,84,84,55,404,67.33333333333333,Pass,None,B
2026198,Jeffrey,40,77,57,76,59,54,363,60.5,Pass,None,B
2026200,Jeffrey,93,81,57,56,97,98,482,80.33333333333333,Pass,None,A
2026201,Jenna,98,73,57,57,39,86,410,68.33333333333333,Pass,None,B
2026202,Jennifer,81,53,68,97,75,71,445,74.16666666666667,Pass,None,B+
2026206,Jeremy,76,74,56,96,43,37,382,63.66666666666667,Pass,None,B
2026207,Jerry,70,90,41,75,70,62,408,68.0,Pass,None,B
2026210,Jessica,54,67,50,68,100,47,386,64.33333333333333,Pass,None,B
2026212,Jessica,87,71,37,56,87,62,400,66.66666666666666,Pass,None,B
