Roll_No,Names,Maths,Science,Social_sci,English,Marathi,Kannada,Total_marks,Percentage,Result,Failed_subjects,Grade
2026086,Christina,99,79,87,70,97,96,528,88.0,Pass,None,A
2026473,Todd,79,90,97,74,83,98,521,86.83333333333333,Pass,None,A
2026291,Linda,72,73,96,87,92,96,516,86.0,Pass,None,A
2026184,James,93,97,58,90,73,94,505,84.16666666666667,Pass,None,A
2026425,Sean,90,76,86,65,94,83,494,82.33333333333334,Pass,None,A
2026067,Carly,93,51,76,94,98,78,490,81.66666666666667,Pass,None,A
2026113,Darrell,86,92,41,87,98,81,485,80.83333333333333,Pass,None,A
2026352,Michelle,83,100,82,97,83,38,483,80.5,Pass,None,A
2026200,Jeffrey,93,81,57,56,97,98,482,80.33333333333333,Pass,None,A
2026494,William,94,86,64,100,84,52,480,80.0,Pass,None,A
