,Roll_No,Names,Maths,Science,Social_sci,English,Marathi,Kannada,Total_marks,Percentage,Result,Failed_subjects,Grade
85,2026086,Christopher,99,79,87,70,97,96,528,88.0,Pass,None,A
472,2026473,Timothy,79,90,97,74,83,98,521,86.83333333333333,Pass,None,A
290,2026291,Kimberly,72,73,96,87,92,96,516,86.0,Pass,None,A
183,2026184,Hunter,93,97,58,90,73,94,505,84.16666666666667,Pass,None,A
424,2026425,Samuel,90,76,86,65,94,83,494,82.33333333333334,Pass,None,A
66,2026067,Charles,93,51,76,94,98,78,490,81.66666666666667,Pass,None,A
112,2026113,Danielle,86,92,41,87,98,81,485,80.83333333333333,Pass,None,A
351,2026352,Michael,83,100,82,97,83,38,483,80.5,Pass,None,A
199,2026200,Jeanette,93,81,57,56,97,98,482,80.33333333333333,Pass,None,A
493,2026494,Vickie,94,86,64,100,84,52,480,80.0,Pass,None,A
